# old_republic_50.SC2Replay — build order golden
# player: firebat (Terran) mmr=3957
# columns: start,finish,supply_used,supply_made,kind,action,count,outcome,producer,producer_id
04:27,04:40,38,46,W,SCV,1,C,CommandCenter,1
04:28,04:40,38,46,W,SCV,1,C,CommandCenter,2
04:34,04:59,40,61,S,OrbitalCommand,1,C,CommandCenter,3
04:37,04:55,40,61,U,Marine,2,C,Barracks,2
04:42,06:37,41,61,P,TerranInfantryWeaponsLevel1,1,C,EngineeringBay,1
04:48,05:09,42,61,U,Marauder,1,C,Barracks,1
04:49,05:02,42,61,W,SCV,1,C,CommandCenter,1
04:52,05:09,42,61,S,BarracksTechLab,1,C,,
04:57,05:15,45,61,U,Marine,2,C,Barracks,2
05:02,05:14,47,61,W,SCV,1,C,CommandCenter,1
05:09,05:31,48,61,U,Marauder,1,C,Barracks,1
05:17,05:29,50,61,W,SCV,1,C,CommandCenter,1
05:17,05:29,50,61,W,SCV,1,C,CommandCenter,3
05:18,06:01,50,61,S,Factory,1,C,,
05:24,05:36,52,61,W,SCV,1,C,CommandCenter,2
05:26,05:47,52,61,U,Marauder,1,C,Barracks,3
05:26,05:44,52,61,U,Marine,1,C,Barracks,2
05:29,05:41,56,61,W,SCV,1,C,CommandCenter,3
05:31,05:41,56,61,W,SCV,1,C,CommandCenter,1
05:36,05:49,58,61,W,SCV,1,C,CommandCenter,2
05:38,05:56,58,61,S,MissileTurret,1,C,,
05:41,06:02,58,61,U,Marauder,1,C,Barracks,1
05:41,05:59,58,61,W,SCV,1,C,CommandCenter,1
05:47,06:08,61,61,S,SupplyDepot,1,C,,
05:47,06:05,61,61,U,Marine,1,C,Barracks,2
05:50,06:11,61,61,S,SupplyDepot,1,C,,
05:52,06:10,63,69,U,Marine,1,C,Barracks,2
05:52,06:13,63,69,U,Marauder,1,C,Barracks,3
05:55,06:07,63,69,W,SCV,1,C,CommandCenter,2
05:56,06:08,63,69,W,SCV,1,C,CommandCenter,3
06:06,06:19,68,69,W,SCV,1,C,CommandCenter,1
06:07,06:28,68,69,S,Refinery,2,C,,
06:08,06:20,68,69,W,SCV,1,C,CommandCenter,2
06:11,06:33,68,69,S,SupplyDepot,2,C,,
06:16,06:52,70,85,S,Starport,1,C,,
06:17,06:53,70,85,S,FactoryReactor,1,C,,
06:19,06:31,70,85,W,SCV,1,C,CommandCenter,1
06:19,06:31,70,85,W,SCV,1,C,CommandCenter,3
06:20,06:32,70,85,W,SCV,1,C,CommandCenter,2
06:31,06:48,73,85,U,Marine,2,C,Barracks,2
06:31,06:43,73,85,W,SCV,1,C,CommandCenter,1
06:31,06:52,73,85,U,Marauder,1,C,Barracks,1
06:31,06:53,73,85,U,Marauder,1,C,Barracks,3
06:31,06:43,73,85,W,SCV,1,C,CommandCenter,3
06:32,06:44,73,85,W,SCV,1,C,CommandCenter,2
06:43,06:55,82,101,W,SCV,1,C,CommandCenter,1
06:43,06:55,82,101,W,SCV,1,C,CommandCenter,3
06:44,06:57,82,101,W,SCV,1,C,CommandCenter,2
06:46,07:32,82,101,S,Barracks,3,C,,
06:53,08:31,85,101,U,Marauder,1,C,Barracks,3
06:58,07:10,85,101,W,SCV,1,C,CommandCenter,1
06:58,07:10,85,101,W,SCV,1,C,CommandCenter,2
06:59,08:54,85,101,P,TerranInfantryArmorsLevel1,1,C,EngineeringBay,1
07:04,07:29,88,101,S,EngineeringBay,1,C,,
07:04,07:50,88,101,S,Armory,1,C,,
07:08,07:25,88,101,S,MissileTurret,1,C,,
07:10,07:22,87,101,W,SCV,1,C,CommandCenter,2
07:11,07:22,87,101,W,SCV,1,C,CommandCenter,1
07:14,07:32,87,101,S,MissileTurret,1,C,,
07:14,07:32,87,101,U,Marine,2,C,Barracks,2
07:15,07:36,87,101,U,Marauder,1,C,Barracks,1
07:17,07:47,93,101,U,Medivac,2,C,Starport,1
07:22,07:34,93,101,W,SCV,1,C,CommandCenter,2
07:25,07:47,99,101,S,SupplyDepot,1,C,,
07:27,07:34,99,101,W,SCV,1,C,CommandCenter,1
07:27,07:40,99,101,W,SCV,1,C,CommandCenter,3
07:28,08:04,99,101,S,FactoryReactor,1,C,,
07:35,07:57,100,101,S,SupplyDepot,1,C,,
07:37,07:49,100,101,W,SCV,1,C,CommandCenter,1
07:38,07:59,100,101,S,SupplyDepot,2,C,,
07:47,07:59,101,101,W,SCV,1,C,CommandCenter,2
07:49,08:17,101,101,S,GhostAcademy,1,C,,
07:49,08:02,101,101,W,SCV,1,C,CommandCenter,1
07:50,08:26,101,101,S,BarracksReactor,1,C,,
07:51,08:09,101,101,S,BarracksTechLab,2,C,,
07:59,08:20,103,117,S,SupplyDepot,1,C,,
07:59,08:29,103,117,U,Medivac,2,C,Starport,1
08:00,08:22,103,117,S,SupplyDepot,1,C,,
08:01,08:19,103,117,U,Marine,2,C,Barracks,2
08:09,08:30,112,125,U,Marauder,1,C,Barracks,1
08:09,08:31,112,125,U,Marauder,1,C,Barracks,4
08:10,08:32,112,125,U,Marauder,1,C,Barracks,5
08:14,08:35,117,133,U,WidowMine,2,C,Factory,1
08:23,08:45,121,133,S,SupplyDepot,1,C,,
08:31,12:09,121,149,U,Marauder,1,C,Barracks,3
08:31,08:52,121,149,S,Refinery,1,C,,
08:31,12:09,121,149,U,Marauder,1,C,Barracks,4
08:44,09:06,129,149,S,Refinery,1,C,,
08:47,08:59,129,149,W,SCV,1,C,CommandCenter,1
08:47,08:59,129,149,W,SCV,1,C,CommandCenter,2
08:47,09:00,129,149,W,SCV,1,C,CommandCenter,3
08:51,09:21,132,157,U,Medivac,2,C,Starport,1
09:00,09:12,136,157,W,SCV,1,C,CommandCenter,1
09:00,09:12,136,157,W,SCV,1,C,CommandCenter,2
09:00,09:45,136,157,S,CommandCenter,1,X,,
09:01,09:01,136,157,U,GhostAlternate,1,C,Barracks,1
09:01,09:01,136,157,U,GhostAlternate,1,C,Barracks,3
09:01,09:01,136,157,U,GhostAlternate,1,C,Barracks,4
09:01,09:01,136,157,U,GhostAlternate,1,C,Barracks,5
09:02,09:23,136,157,U,WidowMine,2,C,Factory,1
09:09,09:30,144,157,S,SupplyDepot,1,C,,
09:10,10:28,144,157,R,ShieldWall,1,C,BarracksTechLab,3
09:16,09:34,144,157,S,MissileTurret,2,C,,
09:22,09:34,144,157,W,SCV,1,C,CommandCenter,1
09:23,09:35,144,157,W,SCV,1,C,CommandCenter,2
09:23,09:35,144,157,W,SCV,1,C,CommandCenter,3
09:23,09:59,144,157,S,Starport,2,C,,
09:29,09:29,147,157,U,GhostAlternate,1,C,Barracks,1
09:31,09:49,147,157,S,MissileTurret,2,C,,
09:34,09:47,147,165,W,SCV,1,C,CommandCenter,1
09:35,09:47,147,165,W,SCV,1,C,CommandCenter,2
09:35,09:47,147,165,W,SCV,1,C,CommandCenter,3
10:02,11:13,141,150,S,CommandCenter,2,C,,
10:15,10:33,147,150,S,StarportTechLab,1,C,,
10:15,10:51,147,150,S,StarportReactor,1,C,,
10:16,10:46,147,150,U,VikingFighter,1,C,Starport,1
10:21,10:42,147,150,S,SupplyDepot,2,C,,
10:42,10:42,149,150,U,GhostAlternate,1,C,Barracks,1
10:42,10:42,149,150,U,GhostAlternate,1,C,Barracks,3
10:42,10:42,149,150,U,GhostAlternate,1,C,Barracks,4
10:42,11:12,149,150,U,VikingFighter,1,C,Starport,1
10:42,11:16,149,150,U,Raven,1,C,Starport,3
10:49,11:19,153,158,U,VikingFighter,1,C,Starport,1
11:06,11:24,159,166,U,Marine,1,C,Barracks,2
11:06,11:24,159,166,U,Marine,1,C,Barracks,6
11:07,11:24,159,166,U,Marine,1,C,Barracks,2
11:07,11:25,159,166,U,Marine,1,C,Barracks,6
11:16,11:16,164,166,U,GhostAlternate,1,C,Barracks,1
11:17,11:17,164,166,U,GhostAlternate,1,C,Barracks,3
11:17,11:17,164,166,U,GhostAlternate,1,C,Barracks,4
11:22,11:47,159,196,S,OrbitalCommand,1,C,CommandCenter,5
11:30,13:46,159,196,P,TerranInfantryArmorsLevel2,1,C,EngineeringBay,1
11:30,13:46,159,196,P,TerranInfantryWeaponsLevel2,1,C,EngineeringBay,1
11:32,11:54,159,196,S,Refinery,1,C,,
11:33,12:58,159,196,R,PersonalCloaking,1,C,GhostAcademy,1
11:34,11:56,159,196,S,Refinery,1,C,,
11:35,11:35,159,196,U,GhostAlternate,1,C,Barracks,5
11:45,11:45,159,196,U,GhostAlternate,1,C,Barracks,1
11:47,12:05,159,196,U,Marine,1,C,Barracks,2
11:48,12:05,159,196,U,Marine,1,C,Barracks,6
11:48,12:09,159,196,U,Marauder,1,C,Barracks,1
11:48,12:06,159,196,U,Marine,1,C,Barracks,2
11:48,12:06,159,196,U,Marine,1,C,Barracks,6
11:48,12:06,159,196,U,Marine,1,C,Barracks,5
12:05,12:23,167,196,U,Marine,1,C,Barracks,2
12:05,12:23,167,196,U,Marine,1,C,Barracks,6
12:06,12:23,167,196,U,Marine,1,C,Barracks,2
12:06,12:27,167,196,U,Marauder,1,C,Barracks,5
12:09,12:48,172,196,U,Marauder,1,C,Barracks,3
12:27,12:48,160,196,U,Marauder,1,C,Barracks,1
12:27,12:45,160,196,U,Marine,1,C,Barracks,2
12:28,12:46,160,196,U,Marine,1,C,Barracks,6
12:28,12:46,160,196,U,Marine,1,C,Barracks,2
12:28,12:46,160,196,U,Marine,1,C,Barracks,6
12:45,13:03,160,196,U,Marine,1,C,Barracks,2
12:46,13:04,160,196,U,Marine,1,C,Barracks,6
12:47,13:17,160,196,U,VikingFighter,1,C,Starport,1
12:47,13:17,160,196,U,VikingFighter,1,C,Starport,2
12:48,13:18,160,196,U,VikingFighter,1,C,Starport,1
12:48,13:18,160,196,U,VikingFighter,1,C,Starport,2
12:48,15:52,160,196,U,Marauder,1,C,Barracks,3
12:49,13:23,160,196,U,Raven,1,C,Starport,3
12:53,13:50,176,196,R,InterferenceMatrix,1,C,StarportTechLab,1
12:56,12:56,176,196,U,GhostAlternate,1,C,Barracks,4
12:56,12:56,176,196,U,GhostAlternate,1,C,Barracks,5
13:00,13:36,180,196,S,PlanetaryFortress,1,C,CommandCenter,6
13:08,15:02,180,196,P,TerranShipWeaponsLevel1,1,C,Armory,1
13:13,13:35,180,196,S,Refinery,1,C,,
13:14,14:25,180,196,S,CommandCenter,1,C,,
13:17,13:17,180,196,U,GhostAlternate,1,C,Barracks,1
13:17,13:17,180,196,U,GhostAlternate,1,C,Barracks,3
13:25,13:25,180,196,U,GhostAlternate,1,C,Barracks,4
13:25,13:25,180,196,U,GhostAlternate,1,C,Barracks,5
13:55,14:07,176,196,W,SCV,1,C,CommandCenter,1
13:55,14:07,176,196,W,SCV,1,C,CommandCenter,2
13:55,14:08,176,196,W,SCV,1,C,CommandCenter,6
14:07,18:24,173,196,W,SCV,1,C,CommandCenter,1
14:08,14:26,173,196,S,StarportTechLab,1,C,,
14:10,14:57,173,196,S,FusionCore,1,C,,
14:11,14:57,173,196,S,Armory,1,C,,
14:12,14:30,173,196,S,StarportTechLab,1,C,,
14:21,15:33,173,196,S,CommandCenter,4,C,,
14:26,14:47,173,196,S,Refinery,1,C,,
14:46,15:22,153,211,S,PlanetaryFortress,1,C,CommandCenter,7
14:59,16:11,153,211,S,CommandCenter,1,C,,
15:00,15:21,153,211,S,Refinery,2,C,,
15:16,16:20,127,211,U,Battlecruiser,1,C,Starport,1
15:16,16:20,127,211,U,Battlecruiser,1,C,Starport,2
15:16,16:20,127,211,U,Battlecruiser,1,C,Starport,3
15:23,15:44,128,211,U,WidowMine,2,C,Factory,1
15:30,15:51,128,211,U,Marauder,1,C,Barracks,1
15:30,15:52,128,211,U,Marauder,1,C,Barracks,4
15:30,15:52,128,211,U,Marauder,1,C,Barracks,5
15:43,16:18,134,256,S,Starport,1,C,,
15:43,16:19,134,271,S,PlanetaryFortress,1,C,CommandCenter,9
15:44,16:09,134,271,S,OrbitalCommand,1,C,CommandCenter,10
15:44,16:09,134,271,S,OrbitalCommand,1,C,CommandCenter,11
15:44,16:09,134,271,S,OrbitalCommand,1,C,CommandCenter,8
15:46,16:22,134,271,S,Starport,1,C,,
15:50,16:08,134,271,S,MissileTurret,3,C,,
15:51,16:13,134,271,U,Marauder,1,C,Barracks,1
15:52,16:13,134,271,U,Marauder,1,C,Barracks,3
15:53,16:11,134,271,S,MissileTurret,2,C,,
15:55,16:13,134,271,S,SensorTower,1,C,,
16:00,18:16,138,271,P,TerranShipWeaponsLevel2,1,C,Armory,1
16:00,17:55,138,271,P,TerranVehicleAndShipArmorsLevel1,1,C,Armory,1
16:07,16:25,138,271,S,MissileTurret,1,C,,
16:20,17:24,138,271,U,Battlecruiser,1,C,Starport,1
16:20,17:24,138,271,U,Battlecruiser,1,C,Starport,2
16:20,17:24,138,271,U,Battlecruiser,1,C,Starport,3
16:27,16:45,148,271,S,MissileTurret,1,C,,
16:32,16:53,148,271,U,WidowMine,2,C,Factory,1
16:53,17:28,160,271,S,Starport,2,C,,
16:59,16:59,160,271,U,GhostAlternate,1,C,Barracks,1
16:59,16:59,160,271,U,GhostAlternate,1,C,Barracks,3
16:59,16:59,160,271,U,GhostAlternate,1,C,Barracks,4
16:59,16:59,160,271,U,GhostAlternate,1,C,Barracks,5
17:13,17:35,166,271,S,Refinery,2,C,,
17:27,17:27,154,271,U,GhostAlternate,1,C,Barracks,1
17:27,17:27,154,271,U,GhostAlternate,1,C,Barracks,3
17:27,17:27,154,271,U,GhostAlternate,1,C,Barracks,4
17:47,18:05,136,256,S,StarportTechLab,3,C,,
17:56,19:07,132,256,S,CommandCenter,1,C,,
18:00,19:04,132,256,U,Battlecruiser,1,C,Starport,1
18:00,19:04,132,256,U,Battlecruiser,1,C,Starport,2
18:00,19:04,132,256,U,Battlecruiser,1,C,Starport,3
18:04,20:20,132,256,P,TerranVehicleAndShipArmorsLevel2,1,C,Armory,1
18:12,18:24,150,256,W,SCV,1,C,CommandCenter,2
18:12,18:24,150,256,W,SCV,1,C,CommandCenter,7
18:13,18:25,150,256,W,SCV,1,C,CommandCenter,10
18:14,18:26,159,256,W,SCV,1,C,CommandCenter,5
18:14,18:27,159,256,W,SCV,1,C,CommandCenter,8
18:17,18:53,159,256,S,PlanetaryFortress,1,C,CommandCenter,12
18:25,18:37,160,256,W,SCV,1,C,CommandCenter,1
18:25,20:14,160,256,W,SCV,1,C,CommandCenter,12
18:25,18:37,160,256,W,SCV,1,C,CommandCenter,2
18:31,19:36,162,256,U,Battlecruiser,1,C,Starport,5
18:35,18:35,168,256,U,GhostAlternate,1,C,Barracks,1
18:35,18:35,168,256,U,GhostAlternate,1,C,Barracks,3
18:35,19:40,168,256,U,Battlecruiser,1,C,Starport,7
18:43,19:48,174,256,U,Battlecruiser,1,C,Starport,6
19:04,20:08,174,256,U,Battlecruiser,1,C,Starport,1
19:04,20:08,174,256,U,Battlecruiser,1,C,Starport,2
19:07,20:11,174,256,U,Battlecruiser,1,C,Starport,3
19:14,19:36,192,271,U,WidowMine,2,C,Factory,1
19:15,19:37,192,271,U,Marauder,1,C,Barracks,1
19:15,19:37,192,271,U,Marauder,1,C,Barracks,3
19:23,19:48,195,256,S,OrbitalCommand,1,C,CommandCenter,13
19:25,19:46,195,256,S,Refinery,1,C,,
19:36,20:40,191,256,U,Battlecruiser,1,C,Starport,5
19:40,20:44,180,241,U,Battlecruiser,1,C,Starport,7
19:42,20:00,180,241,U,Marine,1,C,Barracks,2
19:52,21:32,178,241,R,BattlecruiserEnableSpecializations,1,C,FusionCore,1
20:02,20:14,157,226,W,SCV,1,C,CommandCenter,1
20:02,20:14,157,226,W,SCV,1,C,CommandCenter,2
20:02,20:15,157,226,W,SCV,1,C,CommandCenter,7
20:03,20:15,157,226,W,SCV,1,C,CommandCenter,5
20:10,20:10,162,226,U,GhostAlternate,1,C,Barracks,1
20:10,20:10,162,226,U,GhostAlternate,1,C,Barracks,3
20:10,20:10,162,226,U,GhostAlternate,1,C,Barracks,4
20:14,20:26,162,226,W,SCV,1,C,CommandCenter,12
20:14,20:27,163,226,W,SCV,1,C,CommandCenter,1
20:15,20:27,163,226,W,SCV,1,C,CommandCenter,2
20:15,20:27,163,226,W,SCV,1,C,CommandCenter,10
20:15,20:27,163,226,W,SCV,1,C,CommandCenter,7
20:15,20:27,163,226,W,SCV,1,C,CommandCenter,5
20:26,20:38,168,226,W,SCV,1,C,CommandCenter,12
20:42,21:47,169,226,U,Battlecruiser,1,C,Starport,5
20:43,21:47,169,226,U,Battlecruiser,1,C,Starport,1
20:48,21:10,181,226,S,Refinery,1,C,,
21:05,22:09,175,226,U,Battlecruiser,1,C,Starport,7
21:05,22:09,175,226,U,Battlecruiser,1,C,Starport,2
