# old_republic_50.SC2Replay — build order golden
# player: Terror (Protoss) mmr=3863
# columns: start,finish,supply_used,supply_made,kind,action,count,outcome
11:06,11:15,134,149,S,Archon,1,C
11:09,11:36,134,149,S,Zealot,6,C
11:15,12:27,138,149,S,Nexus,1,C
11:18,11:57,138,149,S,HighTemplar,1,C
11:24,11:36,124,157,W,Probe,2,C
11:27,12:20,126,157,U,Colossus,2,C
11:28,13:08,126,157,R,ExtendedThermalLance,1,C
11:31,11:58,126,157,S,Stalker,8,C
12:06,12:33,150,157,S,Zealot,1,C
12:08,12:35,150,157,S,Stalker,2,C
12:15,12:15,156,157,S,Gateway,1,D
12:22,12:49,156,157,S,Zealot,1,C
12:23,12:23,156,157,S,Zealot,1,X
12:24,12:52,127,149,S,Zealot,8,C
12:41,13:35,92,156,U,Colossus,2,C
12:47,13:15,92,156,S,Stalker,6,C
12:48,13:31,92,156,U,VoidRay,1,C
12:53,13:05,116,156,W,Probe,1,C
12:57,15:45,116,156,P,ProtossGroundWeaponsLevel3,1,C
13:00,15:48,121,156,P,ProtossGroundArmorsLevel3,1,C
13:03,13:42,121,156,S,HighTemplar,3,C
13:04,13:17,121,156,W,Probe,2,C
13:14,13:22,129,156,S,Archon,1,C
13:17,13:44,129,156,S,Stalker,5,C
13:21,13:33,139,156,W,Probe,1,C
13:35,14:02,136,156,S,Stalker,1,C
13:37,14:30,136,156,U,Colossus,2,C
13:43,14:10,150,156,S,Zealot,3,C
13:46,13:58,150,156,W,Probe,1,C
13:54,14:21,151,156,S,Zealot,3,C
14:22,14:34,156,156,W,Probe,2,C
14:23,15:35,156,156,S,Nexus,1,C
14:30,14:48,154,156,U,Observer,1,C
14:41,15:08,125,156,S,Zealot,4,C
14:46,15:26,133,156,S,HighTemplar,5,C
14:53,15:01,133,156,S,Archon,2,C
14:56,15:08,143,156,W,Probe,3,C
15:00,15:18,146,156,U,Observer,2,C
15:08,15:20,146,156,W,Probe,1,C
15:23,15:50,127,156,S,Stalker,9,C
15:33,15:50,145,156,S,Pylon,2,C
15:35,15:48,145,156,W,Probe,8,C
15:59,16:22,153,187,S,Sentry,8,C
16:06,16:27,169,187,S,Assimilator,2,C
16:33,17:13,159,187,U,Immortal,2,C
16:35,16:48,159,187,W,Probe,1,C
16:38,17:25,159,187,S,Gateway,2,C
16:53,17:20,168,187,S,Zealot,6,C
16:57,18:09,180,187,S,Nexus,1,C
17:13,17:52,164,187,U,Immortal,1,C
17:25,17:32,146,187,S,WarpGate,2,C
17:49,18:16,124,187,S,Zealot,1,C
17:50,18:33,124,187,U,VoidRay,1,C
17:50,18:17,124,187,S,Zealot,10,C
17:54,18:33,146,187,U,Immortal,2,C
17:59,20:00,154,187,P,ProtossShieldsLevel1,1,C
18:06,18:06,158,187,S,AssimilatorRich,1,C
18:08,18:20,158,187,W,Probe,2,C
18:24,19:03,160,202,S,HighTemplar,2,C
18:25,18:53,160,202,S,Stalker,7,C
18:33,19:15,178,202,U,VoidRay,1,C
18:33,19:12,178,202,U,Immortal,1,C
18:35,19:02,186,202,S,Stalker,2,C
18:38,18:51,186,202,W,Probe,1,C
18:40,19:02,186,202,S,Assimilator,2,C
18:45,19:39,191,202,U,Colossus,1,C
18:51,20:59,197,202,P,ProtossAirArmorsLevel1,1,C
19:08,19:35,185,202,S,Stalker,7,C
19:12,20:24,199,202,S,Nexus,1,C
19:59,20:26,158,202,S,Stalker,11,C
20:01,20:13,144,202,W,Probe,1,C
20:02,20:45,144,202,U,VoidRay,1,C
20:14,20:57,123,202,S,FleetBeacon,1,C
20:15,20:57,123,202,S,Stargate,1,C
20:21,20:39,117,202,S,Pylon,2,C
20:32,20:59,115,217,S,Stalker,11,C
20:51,21:34,125,218,U,Tempest,1,C
21:12,21:39,115,203,S,Stalker,15,C
